Rk,Name,TeamName,PA,AB,H,2B,3B,HR,SO,BB,HBP,SH,SF,GDP
133,佐々木泰,C,137,130,26,2,1,2,17,5,1,1,0,0
134,林安可,L,126,115,23,9,0,2,29,7,4,0,0,3
135,鈴木叶,S,83,81,16,2,2,1,18,2,0,0,0,1
136,カリステ,D,67,61,12,2,0,1,20,6,0,0,0,2
137,小深田大翔,E,112,98,19,0,2,0,28,8,1,5,0,1
138,大島洋平,D,66,62,12,1,1,0,13,4,0,0,0,1
139,海野隆司,H,119,103,20,5,1,1,31,5,1,9,1,4
140,廣岡大志,Bs,51,47,9,0,0,0,16,3,0,0,1,4
141,岸潤一郎,L,86,74,14,4,0,1,20,5,2,3,2,2
142,平川蓮,C,102,95,18,4,0,0,31,5,1,1,0,1
143,伊藤裕季也,E,53,48,9,3,0,3,17,4,0,0,1,3
144,伏見寅威,T,81,70,13,1,0,0,18,4,2,4,1,1
145,西川遥輝,F,55,43,8,1,1,1,13,10,2,0,0,0
146,野村勇,H,65,60,11,2,0,0,25,5,0,0,0,1
147,西野真弘,Bs,64,60,11,1,0,0,9,2,1,1,0,1
148,中村奨成,C,81,72,13,1,0,0,10,3,0,6,0,0
149,山川穂高,H,168,143,25,2,0,9,44,21,3,0,1,2
150,石上泰輝,DB,57,53,9,4,0,0,13,3,0,1,0,0
151,丸佳浩,G,54,47,8,1,0,2,11,7,0,0,0,0
152,シーモア,Bs,135,130,22,4,0,3,41,3,1,0,1,1
153,勝田成,C,89,78,13,2,0,0,15,6,2,3,0,0
154,山本大斗,M,69,60,10,2,0,1,15,6,2,0,1,0
155,寺地隆成,M,209,187,31,2,0,3,36,16,2,1,3,2
156,中山礼都,G,82,73,12,5,0,0,14,8,0,0,1,1
157,伊藤琉偉,S,99,88,13,1,1,2,33,9,1,1,0,3
158,坂本勇人,G,78,70,10,1,0,2,24,7,0,0,1,2
159,岡大海,M,50,45,6,1,0,0,14,4,0,1,0,1
160,ボイト,E,74,67,8,3,0,0,19,4,2,0,1,3
