シーズン,ゲームタイプ,球団,#,名前,守備位置,試合,打席,打数,打率,出塁率,長打率,OPS,得点,打点,安打,一塁打,二塁打,三塁打,本塁打,塁打,盗塁,盗塁刺,四球,故意四,三振,併殺,死球,犠打,犠飛,PlayerID
2025,公式戦,阪神タイガース,62,"<a href=""https://proeyekyuu.com/ja/player-jp/?PlayerID=01305130"">植田　海</a>",走,42,19,17,0.059,0.158,0.118,0.276,10,1,1,0,1,0,0,2,4,1,2,0,9,0,0,0,0,01305130
2025,日本シリーズ,阪神タイガース,62,"<a href=""https://proeyekyuu.com/ja/player-jp/?PlayerID=01305130"">植田　海</a>",走,2,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01305130
2025,公式戦,中日ドラゴンズ,8,"<a href=""https://proeyekyuu.com/ja/player-jp/?PlayerID=01305131"">大島　洋平</a>",打,59,98,95,0.242,0.265,0.242,0.507,8,4,23,23,0,0,0,23,4,0,3,0,14,0,0,0,0,01305131
2025,公式戦,横浜DeNAベイスターズ,16,"<a href=""https://proeyekyuu.com/ja/player-jp/?PlayerID=01305138"">大貫　晋一</a>",投,11,18,18,0.111,0.111,0.111,0.222,2,0,2,2,0,0,0,2,0,0,0,0,8,0,0,0,0,01305138
2025,公式戦,福岡ソフトバンクホークス,43,"<a href=""https://proeyekyuu.com/ja/player-jp/?PlayerID=01305153"">井上　朋也</a>",左,8,24,24,0.125,0.125,0.125,0.250,0,1,3,3,0,0,0,3,0,0,0,0,5,0,0,0,0,01305153
2025,公式戦,オリックス・バファローズ,64,"<a href=""https://proeyekyuu.com/ja/player-jp/?PlayerID=01305155"">大里　昂生</a>",遊,46,101,85,0.224,0.309,0.271,0.580,12,7,19,17,0,2,0,23,4,2,11,0,15,0,0,4,1,01305155
2025,クライマックスシリーズファイナルステージ,福岡ソフトバンクホークス,26,"<a href=""https://proeyekyuu.com/ja/player-jp/?PlayerID=01305157"">大津　亮介</a>",投,1,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01305157
2025,公式戦,福岡ソフトバンクホークス,26,"<a href=""https://proeyekyuu.com/ja/player-jp/?PlayerID=01305157"">大津　亮介</a>",投,12,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01305157
2025,日本シリーズ,福岡ソフトバンクホークス,26,"<a href=""https://proeyekyuu.com/ja/player-jp/?PlayerID=01305157"">大津　亮介</a>",投,1,2,1,1.000,1.000,1.000,2.000,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,01305157
2025,公式戦,広島東洋カープ,55,"<a href=""https://proeyekyuu.com/ja/player-jp/?PlayerID=01405116"">松山　竜平</a>",打,1,1,1,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,01405116
2025,公式戦,広島東洋カープ,37,"<a href=""https://proeyekyuu.com/ja/player-jp/?PlayerID=01405130"">野間　峻祥</a>",打,79,166,154,0.247,0.295,0.292,0.587,10,15,38,33,3,2,0,45,2,1,10,1,30,3,1,0,1,01405130
2025,公式戦,広島東洋カープ,44,"<a href=""https://proeyekyuu.com/ja/player-jp/?PlayerID=01405138"">林　晃汰</a>",打,22,49,48,0.188,0.204,0.313,0.517,2,4,9,7,0,0,2,15,0,0,1,1,18,0,0,0,0,01405138
2025,公式戦,横浜DeNAベイスターズ,38,"<a href=""https://proeyekyuu.com/ja/player-jp/?PlayerID=01405139"">森　唯斗</a>",投,2,2,2,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,01405139
2025,公式戦,東京ヤクルトスワローズ,54,"<a href=""https://proeyekyuu.com/ja/player-jp/?PlayerID=01405150"">田中　陽翔</a>",打,6,13,13,0.308,0.308,0.462,0.770,3,2,4,2,2,0,0,6,0,0,0,0,3,0,0,0,0,01405150
2025,公式戦,広島東洋カープ,50,"<a href=""https://proeyekyuu.com/ja/player-jp/?PlayerID=01405155"">中村　健人</a>",打,4,10,6,0.000,0.400,0.000,0.400,1,0,0,0,0,0,0,0,1,0,3,0,1,0,1,0,0,01405155
2025,公式戦,東北楽天ゴールデンイーグルス,58,"<a href=""https://proeyekyuu.com/ja/player-jp/?PlayerID=01505118"">辛島　航</a>",投,2,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01505118
2025,クライマックスシリーズファーストステージ,読売ジャイアンツ,50,"<a href=""https://proeyekyuu.com/ja/player-jp/?PlayerID=01505132"">オコエ　瑠偉</a>",中,2,2,1,0.000,0.500,0.000,0.500,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,01505132
2025,公式戦,読売ジャイアンツ,50,"<a href=""https://proeyekyuu.com/ja/player-jp/?PlayerID=01505132"">オコエ　瑠偉</a>",中,61,140,126,0.246,0.291,0.310,0.601,12,5,31,25,4,2,0,39,3,3,7,1,29,1,1,6,0,01505132
2025,公式戦,オリックス・バファローズ,49,"<a href=""https://proeyekyuu.com/ja/player-jp/?PlayerID=01505150"">片山　楽生</a>",投,21,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01505150
2025,クライマックスシリーズファイナルステージ,福岡ソフトバンクホークス,47,"<a href=""https://proeyekyuu.com/ja/player-jp/?PlayerID=01505151"">大関　友久</a>",投,1,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01505151
2025,公式戦,福岡ソフトバンクホークス,47,"<a href=""https://proeyekyuu.com/ja/player-jp/?PlayerID=01505151"">大関　友久</a>",投,24,3,2,0.000,0.000,0.000,0.000,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,01505151
2025,公式戦,北海道日本ハムファイターズ,4,"<a href=""https://proeyekyuu.com/ja/player-jp/?PlayerID=01505155"">上川畑　大悟</a>",二,35,81,72,0.167,0.259,0.208,0.467,4,5,12,9,3,0,0,15,0,0,7,0,9,4,2,0,0,01505155
2025,公式戦,東京ヤクルトスワローズ,50,"<a href=""https://proeyekyuu.com/ja/player-jp/?PlayerID=01505157"">北村　恵吾</a>",二,46,141,120,0.267,0.364,0.475,0.839,15,19,32,17,10,0,5,57,0,1,15,0,20,3,4,1,1,01505157
2025,公式戦,埼玉西武ライオンズ,31,"<a href=""https://proeyekyuu.com/ja/player-jp/?PlayerID=01605132"">平沼　翔太</a>",打,60,164,156,0.218,0.245,0.250,0.495,13,11,34,30,3,1,0,39,5,0,4,1,32,0,2,1,1,01605132
2025,公式戦,千葉ロッテマリーンズ,15,"<a href=""https://proeyekyuu.com/ja/player-jp/?PlayerID=01605133"">美馬　学</a>",投,1,0,0,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01605133
2025,公式戦,オリックス・バファローズ,65,"<a href=""https://proeyekyuu.com/ja/player-jp/?PlayerID=01605136"">福田　周平</a>",左,23,64,54,0.167,0.224,0.185,0.409,2,3,9,8,1,0,0,10,1,0,4,0,9,2,0,6,0,01605136
